exp_id,tag,timestamp,commit,branch,config_hash,policy,mcts_sims,n_episodes,max_steps,winrate,avg_steps,avg_keys_end,avg_sanity_end,runs_dir,dataset_path,model_path,status
20260202_163226_c8d35bda_smoke,smoke,20260202_163226,a9d971bb,main,c8d35bda,,,,50,,,,,runs\20260202_163226_c8d35bda_smoke,,,failed
20260202_164433_c8d35bda_smoke,smoke,20260202_164433,a9d971bb,main,c8d35bda,,,,50,,,,,runs\20260202_164433_c8d35bda_smoke,reports\20260202_164433_c8d35bda_smoke\bc_smoke.csv,,failed
20260202_164805_c8d35bda_smoke,smoke,20260202_164805,a9d971bb,main,c8d35bda,,,1,50,0.0,49.0,1.0,-1.0,runs\20260202_164805_c8d35bda_smoke,reports\20260202_164805_c8d35bda_smoke\bc_smoke.csv,,ok
20260202_164830_c8d35bda_smoke,smoke,20260202_164830,a9d971bb,main,c8d35bda,,,1,50,0.0,49.0,1.0,-1.0,runs\20260202_164830_c8d35bda_smoke,reports\20260202_164830_c8d35bda_smoke\bc_smoke.csv,,ok
20260202_171125_91096f6a_smoke,smoke,20260202_171125,a9d971bb,main,91096f6a,mcts,50,1,50,0.0,49.0,1.0,-1.0,runs\20260202_171125_91096f6a_smoke,reports\20260202_171125_91096f6a_smoke\bc_smoke.csv,,ok
20260511_191607_c8d35bda_smoke,smoke,20260511_191607,5b3478e5,main,c8d35bda,,,,50,,,,,runs/20260511_191607_c8d35bda_smoke,reports/20260511_191607_c8d35bda_smoke/bc_smoke.csv,,failed
20260531_140201_c8d35bda_smoke,smoke,20260531_140201,f26bab1b,feat/html-canvas-playtest,c8d35bda,,,,50,,,,,runs/20260531_140201_c8d35bda_smoke,reports/20260531_140201_c8d35bda_smoke/bc_smoke.csv,,failed
20260531_161112_c8d35bda_smoke,smoke,20260531_161112,f26bab1b,feat/html-canvas-playtest,c8d35bda,,,,50,,,,,runs/20260531_161112_c8d35bda_smoke,reports/20260531_161112_c8d35bda_smoke/bc_smoke.csv,,failed
20260531_161125_c8d35bda_smoke,smoke,20260531_161125,f26bab1b,feat/html-canvas-playtest,c8d35bda,,,,50,,,,,runs/20260531_161125_c8d35bda_smoke,reports/20260531_161125_c8d35bda_smoke/bc_smoke.csv,,failed
20260601_225645_c8d35bda_smoke,smoke,20260601_225645,f26bab1b,feat/html-canvas-playtest,c8d35bda,,,,50,,,,,runs/20260601_225645_c8d35bda_smoke,reports/20260601_225645_c8d35bda_smoke/bc_smoke.csv,,failed
20260601_230201_c8d35bda_smoke,smoke,20260601_230201,f26bab1b,feat/html-canvas-playtest,c8d35bda,,,,50,,,,,runs/20260601_230201_c8d35bda_smoke,reports/20260601_230201_c8d35bda_smoke/bc_smoke.csv,,failed
20260601_230524_c8d35bda_smoke,smoke,20260601_230524,f26bab1b,feat/html-canvas-playtest,c8d35bda,,,1,50,0.0,49.0,1.0,-2.0,runs/20260601_230524_c8d35bda_smoke,reports/20260601_230524_c8d35bda_smoke/bc_smoke.csv,reports/20260601_230524_c8d35bda_smoke/models/bc_model_best.zip,ok
20260601_233208_c8d35bda_smoke,smoke,20260601_233208,f26bab1b,feat/html-canvas-playtest,c8d35bda,,,1,50,0.0,49.0,1.0,-2.0,runs/20260601_233208_c8d35bda_smoke,reports/20260601_233208_c8d35bda_smoke/bc_smoke.csv,reports/20260601_233208_c8d35bda_smoke/models/bc_model_best.zip,ok
20260608_185842_c8d35bda_smoke,smoke,20260608_185842,f26bab1b,feat/html-canvas-playtest,c8d35bda,,,,50,,,,,runs/20260608_185842_c8d35bda_smoke,reports/20260608_185842_c8d35bda_smoke/bc_smoke.csv,,failed
20260608_185943_c8d35bda_smoke,smoke,20260608_185943,f26bab1b,feat/html-canvas-playtest,c8d35bda,,,,50,,,,,runs/20260608_185943_c8d35bda_smoke,reports/20260608_185943_c8d35bda_smoke/bc_smoke.csv,,failed
20260611_012932_c8d35bda_smoke,smoke,20260611_012932,62fca821,feat/html-canvas-playtest,c8d35bda,,,,50,,,,,runs/20260611_012932_c8d35bda_smoke,reports/20260611_012932_c8d35bda_smoke/bc_smoke.csv,,failed
20260611_015835_c8d35bda_smoke,smoke,20260611_015835,62fca821,feat/html-canvas-playtest,c8d35bda,,,,50,,,,,runs/20260611_015835_c8d35bda_smoke,reports/20260611_015835_c8d35bda_smoke/bc_smoke.csv,,failed
20260611_015946_c8d35bda_smoke,smoke,20260611_015946,62fca821,feat/html-canvas-playtest,c8d35bda,,,1,50,0.0,49.0,1.0,-2.0,runs\20260611_015946_c8d35bda_smoke,reports\20260611_015946_c8d35bda_smoke\bc_smoke.csv,,ok
20260611_015953_c8d35bda_smoke,smoke,20260611_015953,62fca821,feat/html-canvas-playtest,c8d35bda,,,,50,,,,,runs/20260611_015953_c8d35bda_smoke,reports/20260611_015953_c8d35bda_smoke/bc_smoke.csv,,failed
20260611_020009_c8d35bda_smoke,smoke,20260611_020009,62fca821,feat/html-canvas-playtest,c8d35bda,,,1,50,0.0,49.0,1.0,-2.0,runs/20260611_020009_c8d35bda_smoke,reports/20260611_020009_c8d35bda_smoke/bc_smoke.csv,reports/20260611_020009_c8d35bda_smoke/models/bc_model_best.zip,ok
20260611_020026_c8d35bda_smoke,smoke,20260611_020026,62fca821,feat/html-canvas-playtest,c8d35bda,,,1,50,0.0,49.0,1.0,-2.0,runs/20260611_020026_c8d35bda_smoke,reports/20260611_020026_c8d35bda_smoke/bc_smoke.csv,reports/20260611_020026_c8d35bda_smoke/models/bc_model_best.zip,ok
